chr	start	end	name	log2fc	pval
chr1	52844942	52845701	306		
chr1	52952479	52953175	97		
chr1	53296584	53297653	719		
chr1	53313239	53314215	532		
chr1	53352042	53352767	619		
chr1	53706482	53706865	18		
chr1	53784181	53785250	957		
chr1	53823769	53824010	15		
chr1	53940289	53940499	12		
chr1	53976726	53978517	368		
chr1	54194126	54195300	626		
chr1	54250320	54250588	21		
chr1	54250735	54251269	81		
chr1	54438321	54439223	503		
chr1	54556938	54558182	795		
chr1	54837933	54838448	20		
chr1	54912228	54912483	4		
chr1	54925507	54926685	1012		
chr1	55026307	55027444	1460		
chr1	55027593	55027882	152		
chr1	55052241	55052621	140		
chr1	55052777	55053763	849		
chr1	55087002	55088088	1245		
chr1	55088268	55088891	698		
chr1	55130679	55132038	1381		
chr1	55171960	55172394	10		
chr1	55201780	55202400	29		
chr1	55225905	55227034	242		
chr1	55237171	55238371	772		
chr1	55363337	55363911	70		
chr1	55405466	55407039	648		
chr1	56972168	56973873	1085		
chr1	57377537	57378271	681		
chr1	57405970	57407456	1395		
chr1	57429911	57430111	9		
chr1	57436289	57437220	74		
chr1	57774255	57775798	999		
chr1	57852595	57852992	30		
chr1	57969379	57970129	549		
chr1	57995642	57996525	348		
chr1	58029725	58030756	250		
chr1	58113316	58113621	8		
chr1	58392185	58393970	2321		
chr1	58422572	58424066	2158		
chr1	58444892	58446146	541		
chr1	58504271	58505527	865		
chr1	58585692	58587187	1430		
chr1	58613834	58614109	14		
chr1	58652390	58653287	497		
chr1	58711361	58712259	845		
chr1	58712399	58712680	127		
chr1	58713238	58714208	674		
chr1	58766733	58767194	26		
chr1	58795330	58796468	546		
chr1	58802597	58803678	128		
chr1	58972716	58974298	1572		
chr1	59119523	59120653	614		
chr1	59236720	59238065	1149		
chr1	59481372	59481897	206		
chr1	59482115	59483285	580		
chr1	59515997	59516321	14		
chr1	59669933	59671404	1727		
chr1	59684437	59684712	66		
chr1	59684919	59685797	659		
chr1	59762776	59763320	401		
chr1	59763425	59765079	1876		
chr1	59912510	59914155	1982		
chr1	60042761	60043518	179		
chr1	60097329	60098823	1305		
chr1	60158321	60158611	8		
chr1	60179955	60180315	200		
chr1	60180520	60181536	1177		
chr1	60342898	60344011	611		
chr1	60409170	60410463	1119		
chr1	60565402	60566791	1494		
chr1	60566962	60567392	252		
chr1	60667906	60668657	33		
chr1	60715660	60716230	53		
chr1	60716380	60716630	6		
chr1	60716742	60716959	18		
chr1	60811719	60812558	34		
chr1	60960713	60961054	16		
chr1	61181426	61181771	24		
chr1	61638463	61639609	828		
chr1	62702847	62704376	830		
chr1	62704769	62705780	397		
chr1	62706005	62707187	559		
chr1	62795787	62796011	7		
chr1	62966644	62967071	39		
chr1	62984661	62984991	33		
chr1	63113046	63115135	1762		
chr1	63129709	63130092	21		
chr1	63175906	63177648	1734		
chr1	63273090	63273935	63		
chr1	63445798	63446611	90		
chr1	63730315	63731225	689		
chr1	64018636	64019058	16		
chr1	64078036	64079145	74		
chr1	64088146	64088386	10		
chr1	64119316	64119704	189		
chr1	64119834	64121472	1282		
chr1	64121849	64122299	678		
chr1	64198603	64198803	7		
chr1	64302631	64303438	61		
chr1	64532052	64533994	1675		
chr1	64616690	64617900	1166		
chr1	64690371	64690608	74		
chr1	64690899	64691925	990		
chr1	64736363	64737791	733		
chr1	64918938	64919551	33		
chr1	64956188	64957130	464		
chr1	65112240	65113127	42		
chr1	65177872	65179698	841		
chr1	65185941	65187316	922		
chr1	65873136	65873709	38		
chr1	66174955	66175851	148		
chr1	66467837	66468363	17		
chr1	66700533	66701630	723		
chr1	66815884	66817630	1825		
chr1	66817734	66818074	246		
chr1	66838438	66838675	15		
chr1	66862217	66863895	1179		
chr1	66896089	66896692	26		
chr1	67038258	67039286	656		
chr1	67398123	67398335	10		
chr1	68504302	68504785	31		
chr1	68780680	68780966	18		
chr1	69085908	69086313	19		
chr1	69105731	69106015	59		
chr1	69106357	69106672	70		
chr1	69106956	69108476	462		
chr1	69121677	69121879	31		
chr1	69686834	69688236	787		
chr1	71102181	71103631	748		
chr1	71556677	71557734	352		
chr1	71652613	71654086	372		
chr1	71845074	71845503	16		
chr1	72211650	72212494	334		
chr1	72225649	72226448	167		
chr1	72236226	72237287	309		
chr1	72243632	72244645	209		
chr1	72254381	72255298	173		
chr1	72283825	72284373	127		
chr1	72307098	72307965	305		
chr1	72582763	72583089	92		
chr1	72583197	72583888	299		
chr1	72640820	72641526	56		
chr1	72710833	72712035	994		
chr1	72824527	72824842	19		
chr1	72871634	72872392	145		
chr1	72873373	72874765	295		
chr1	73961877	73963024	183		
chr1	73999817	74000242	23		
chr1	74000952	74001483	38		
chr1	74008054	74008256	10		
chr1	74015896	74016578	34		
chr1	74035093	74037252	1279		
chr1	74068035	74069004	200		
chr1	74090281	74091375	93		
chr1	74098194	74098865	39		
chr1	74106700	74107076	13		
chr1	74124125	74125244	195		
chr1	74236044	74236350	188		
chr1	74236483	74237688	1380		
chr1	74284040	74284711	567		
chr1	74284986	74285605	423		
chr1	74295881	74296440	40		
chr1	74303457	74304687	1049		
chr1	74332514	74333990	478		
chr1	74362196	74362548	16		
chr1	74368029	74368736	46		
chr1	74375251	74376026	40		
chr1	74386495	74387251	287		
chr1	74391646	74392767	1428		
chr1	74397069	74397341	68		
chr1	74397572	74398234	173		
chr1	74505287	74505864	498		
chr1	74506025	74506968	906		
chr1	74587320	74588215	767		
chr1	74588327	74588688	183		
chr1	74600747	74601817	552		
chr1	74661679	74662497	631		
chr1	74713170	74714290	365		
chr1	74748609	74749440	48		
chr1	74771563	74772402	75		
chr1	74772941	74773152	22		
chr1	74784035	74784597	60		
chr1	74803198	74803757	20		
chr1	74816669	74817565	436		
chr1	74854841	74855300	54		
chr1	74882199	74882555	19		
chr1	74884672	74884919	15		
chr1	74948244	74948524	12		
chr1	74951289	74951489	11		
chr1	75124522	75125597	432		
chr1	75141052	75143410	1676		
chr1	75168327	75169280	500		
chr1	75179801	75180530	201		
chr1	75191377	75192872	1303		
chr1	75210408	75211433	805		
chr1	75217986	75219806	709		
chr1	75235991	75236315	119		
chr1	75236413	75237262	634		
chr1	75247309	75248150	18		
chr1	75251534	75251762	11		
chr1	75316443	75317503	847		
chr1	75360310	75361677	388		
chr1	75375272	75376415	262		
chr1	75381653	75382832	254		
chr1	75399990	75400698	46		
chr1	75435855	75436615	320		
chr1	75458370	75459029	22		
chr1	75478671	75479853	456		
chr1	75487422	75487975	27		
chr1	75505246	75506565	498		
chr1	75521172	75522215	741		
chr1	75546088	75546978	308		
chr1	75653706	75654040	20		
chr1	76007964	76008709	29		
chr1	76008908	76009132	9		
chr1	76776841	76777204	25		
chr1	76777446	76777721	16		
chr1	76866640	76866858	10		
chr1	77213513	77213831	15		
chr1	77513377	77515735	1180		
chr1	78196551	78197231	36		
chr1	78203551	78204238	48		
chr1	78216810	78217419	28		
chr1	78310161	78310654	23		
chr1	78488229	78489658	1082		
chr1	78537018	78538068	87		
chr1	78657843	78658801	795		
chr1	78817289	78817959	60		
chr1	79581236	79581538	13		
chr1	79671376	79672327	132		
chr1	79760777	79762062	911		
chr1	79775867	79776714	577		
chr1	79823894	79824392	23		
chr1	79858008	79859023	339		
chr1	80212415	80213968	326		
chr1	80339473	80341334	1850		
chr1	80664914	80665290	11		
chr1	80708881	80709548	39		
chr1	80757950	80758936	107		
chr1	81593673	81594119	17		
chr1	82282963	82283821	237		
chr1	82289981	82292068	825		
chr1	82316130	82317240	844		
chr1	82358951	82359272	19		
chr1	82586384	82587597	168		
chr1	82641518	82641738	13		
chr1	82724515	82725721	992		
chr1	82839366	82840414	1102		
chr1	83037970	83038724	103		
chr1	83159634	83160068	59		
chr1	83407592	83408169	26		
chr1	84283394	84284861	372		
chr1	84838371	84840438	2256		
chr1	84934319	84935156	40		
chr1	85111666	85112196	41		
chr1	85199565	85200203	52		
chr1	85326355	85326973	38		
chr1	85526689	85527167	32		
chr1	85579048	85579860	38		
chr1	85598037	85598813	153		
chr1	85600747	85601257	49		
chr1	85649957	85651111	339		
chr1	85651467	85652360	130		
chr1	85703409	85703767	20		
chr1	85735376	85736693	211		
chr1	85793392	85794769	1411		
chr1	85894485	85895527	658		
chr1	86015790	86016024	24		
chr1	86018326	86018606	9		
chr1	86045781	86046573	70		
chr1	86059188	86059596	32		
chr1	86064394	86065561	1315		
chr1	86154174	86155228	480		
chr1	86303204	86303835	32		
chr1	86358512	86359415	1199		
chr1	86359609	86360181	450		
chr1	86434119	86435126	204		
chr1	86440795	86441023	45		
chr1	86441574	86443134	530		
chr1	86470853	86471400	33		
chr1	86471973	86472336	23		
chr1	86472473	86472942	21		
chr1	86486983	86487571	294		
chr1	86487708	86488370	462		
chr1	86503736	86505008	342		
chr1	86525553	86526226	475		
chr1	86526758	86528753	2628		
chr1	86581943	86583154	862		
chr1	86587066	86587638	416		
chr1	86669660	86670097	26		
chr1	86670255	86670769	19		
chr1	86703360	86704428	983		
chr1	87078268	87079268	78		
chr1	87186681	87187243	72		
chr1	87213511	87214809	1388		
chr1	87264297	87265220	117		
chr1	87265329	87265684	25		
chr1	87326972	87327897	1170		
chr1	87509650	87510633	95		
chr1	87620279	87621233	278		
chr1	87755569	87755801	60		
chr1	87755931	87756809	887		
chr1	87852943	87854290	1092		
chr1	87901235	87901658	22		
chr1	88007892	88008870	448		
chr1	88095132	88095465	16		
chr1	88175919	88176224	12		
chr1	88205148	88205990	48		
chr1	88276759	88278014	3194		
chr1	88509790	88509990	10		
chr1	88575677	88576230	18		
chr1	88700734	88702539	1099		
chr1	89015508	89016043	28		
chr1	89070359	89071419	1204		
chr1	89454201	89455956	1116		
chr1	89580146	89581449	616		
chr1	89643909	89644327	68		
chr1	89930190	89930414	8		
chr1	89930707	89931140	20		
chr1	89968260	89968841	32		
chr1	90013893	90014634	69		
chr1	90162693	90162929	11		
chr1	90204005	90206155	1012		
chr1	90603031	90604183	789		
chr1	90842533	90842756	26		
chr1	90843053	90843918	103		
chr1	90914910	90915587	26		
chr1	90998314	90999529	729		
chr1	91017271	91017839	33		
chr1	91052578	91054402	555		
chr1	91179667	91180489	74		
chr1	91249827	91250047	72		
chr1	91250269	91251168	1034		
chr1	91297812	91299215	610		
chr1	91351028	91351730	66		
chr1	91366334	91366706	28		
chr1	91397878	91399181	1131		
chr1	91412654	91413995	628		
chr1	91458536	91459404	689		
chr1	91459542	91459897	113		
chr1	91494538	91495311	565		
chr1	91540016	91541335	824		
chr1	91800897	91801304	40		
chr1	91801439	91802825	152		
chr1	92111887	92112395	8		
chr1	92112568	92113325	44		
chr1	92179344	92180311	1029		
chr1	92180581	92181265	426		
chr1	92379580	92380164	33		
chr1	92472969	92474350	1086		
chr1	92641226	92642323	757		
chr1	92774726	92775175	17		
chr1	92831308	92832945	491		
chr1	92906953	92907730	647		
chr1	92910346	92911656	956		
chr1	92933859	92935226	904		
chr1	92956812	92957116	16		
chr1	93100303	93101451	109		
chr1	93101707	93101907	16		
chr1	93107440	93107731	10		
chr1	93115293	93115498	12		
chr1	93235755	93236719	363		
chr1	93305326	93306253	553		
chr1	93342924	93344227	1247		
chr1	93401573	93401796	12		
chr1	93444542	93445991	1356		
chr1	93477894	93478854	848		
chr1	93478951	93479868	1071		
chr1	93511449	93512743	473		
chr1	93634727	93635777	1308		
chr1	93635951	93636326	224		
chr1	93668860	93669387	83		
chr1	93685339	93686774	445		
chr1	93753901	93755566	1849		
chr1	93801512	93801935	252		
chr1	93802073	93802383	123		
chr1	93803536	93803742	69		
chr1	93803877	93804586	781		
chr1	93824867	93826041	480		
chr1	93906903	93907530	31		
chr1	93976015	93976720	40		
chr1	94035059	94035964	47		
chr1	94147112	94147339	12		
chr1	95313318	95314574	994		
chr1	95451863	95452070	12		
chr1	95665290	95665967	167		
chr1	95666454	95667632	526		
chr1	95667744	95668337	197		
chr1	96871821	96872376	18		
chr1	97660725	97662320	1225		
chr1	97760442	97760811	46		
chr1	97760954	97761647	96		
chr1	97769188	97770913	1377		
chr1	97802318	97802696	17		
chr1	97821554	97821839	17		
chr1	97976079	97977364	542		
chr1	98094831	98096115	873		
chr1	98131725	98131928	9		
chr1	98589520	98589930	17		
chr1	100223850	100224106	12		
chr1	100231172	100232013	135		
chr1	101902129	101902799	36		
chr1	102628098	102628381	22		
chr1	104293821	104294121	12		
chr1	104768528	104769670	105		
chr1	104993954	104994492	33		
chr1	105355620	105356924	772		
chr1	105663124	105663740	590		
chr1	105663847	105664702	1025		
chr1	105780412	105781306	187		
chr1	105971553	105972376	139		
chr1	105989687	105990263	660		
chr1	105990620	105991872	1285		
chr1	105993634	105994014	434		
chr1	106171727	106173562	1954		
chr1	106199655	106199855	10		
chr1	106199954	106200195	10		
chr1	106687731	106688069	7		
chr1	106712536	106712913	134		
chr1	106713315	106714815	1027		
chr1	106758919	106760381	713		
chr1	106795873	106797081	1255		
chr1	107589984	107591100	102		
chr1	107917349	107918902	140		
chr1	110975394	110975594	8		
chr1	110977202	110977563	9		
chr1	111864107	111865221	449		
chr1	118310529	118311621	897		
chr1	118321744	118322526	648		
chr1	118358620	118359063	26		
chr1	118388258	118390214	1683		
chr1	118459022	118459927	168		
chr1	118482057	118483659	359		
chr1	118627839	118628490	33		
chr1	119047759	119048207	37		
chr1	119052492	119053619	180		
chr1	119053740	119054274	61		
chr1	119420552	119422382	470		
chr1	119492106	119492595	24		
chr1	119503851	119504773	713		
chr1	119525594	119526731	649		
chr1	119648202	119649220	657		
chr1	119836466	119837580	882		
chr1	119912679	119913711	313		
chr1	119997074	119997544	27		
chr1	120047063	120047264	13		
chr1	120072892	120074327	138		
chr1	120120275	120121716	794		
chr1	120258430	120258793	26		
chr1	120264593	120265650	229		
chr1	120574919	120575193	20		
chr1	120602887	120603435	19		
chr1	120963892	120964374	13		
chr1	121096829	121097533	91		
chr1	121327084	121328498	1266		
chr1	121430980	121431854	707		
chr1	121567153	121568034	740		
chr1	122357130	122357330	14		
chr1	125434037	125435591	1328		
chr1	125436008	125436248	97		
chr1	125560065	125561790	1228		
chr1	125911540	125912148	26		
chr1	125912239	125912587	15		
chr1	126492322	126493175	74		
chr1	126737625	126738449	57		
chr1	126829909	126830887	161		
chr1	126939645	126939866	11		
chr1	126940461	126940697	6		
chr1	127204638	127206419	1016		
chr1	127242620	127243100	26		
chr1	127273616	127274425	80		
chr1	127676883	127678132	79		
chr1	127773376	127773898	332		
chr1	127774184	127775146	1045		
chr1	127868555	127869384	546		
chr1	128102162	128103104	500		
chr1	128103256	128104071	898		
chr1	128243843	128245151	1100		
chr1	128358900	128359782	394		
chr1	128416535	128417474	1157		
chr1	128590732	128592634	650		
chr1	128832317	128832808	50		
chr1	129273456	129273765	14		
chr1	130422017	130422463	21		
chr1	130461897	130463167	438		
chr1	130548203	130548448	12		
chr1	130550233	130550678	24		
chr1	130715419	130718076	2450		
chr1	131090560	131090822	19		
chr1	131096502	131097872	1500		
chr1	131137837	131138943	544		
chr1	131152921	131153747	402		
chr1	131173267	131173638	18		
chr1	131199210	131200133	73		
chr1	131244745	131245959	378		
chr1	131278836	131279679	63		
chr1	131525581	131527383	1843		
chr1	131527917	131528339	428		
chr1	131638602	131638927	4		
chr1	131688742	131690385	158		
chr1	131797349	131797891	39		
chr1	131827476	131828898	992		
chr1	131867170	131868160	611		
chr1	131910428	131911566	1572		
chr1	131962646	131963890	458		
chr1	132007212	132008811	1653		
chr1	132067416	132068287	87		
chr1	132138786	132139765	265		
chr1	132190258	132191062	42		
chr1	132212274	132212655	14		
chr1	132298496	132299739	241		
chr1	132316069	132316938	498		
chr1	132342032	132342339	26		
chr1	132390715	132392020	759		
chr1	132417095	132418326	713		
chr1	132476663	132477976	990		
chr1	132741506	132741890	20		
chr1	132880157	132881418	281		
chr1	133024821	133026130	1187		
chr1	133033339	133034329	351		
chr1	133045726	133047046	821		
chr1	133068089	133069639	249		
chr1	133084056	133084532	25		
chr1	133130780	133131070	172		
chr1	133131296	133132975	1588		
chr1	133163799	133164513	68		
chr1	133181176	133182123	118		
chr1	133182444	133182711	23		
chr1	133223489	133223790	25		
chr1	133226361	133226591	6		
chr1	133241202	133241978	74		
chr1	133255773	133257302	180		
chr1	133363201	133364243	146		
chr1	133418007	133418386	93		
chr1	133422408	133424440	1676		
chr1	133434305	133434967	34		
chr1	133492683	133493424	76		
chr1	133609573	133610340	852		
chr1	133660407	133661793	1018		
chr1	133799565	133801071	523		
chr1	133908534	133909098	42		
chr1	133920634	133921386	99		
chr1	134060537	134060937	34		
chr1	134061060	134061488	66		
chr1	134063190	134063740	36		
chr1	134077422	134079103	1705		
chr1	134086977	134087179	10		
chr1	134093159	134093810	87		
chr1	134098858	134099233	44		
chr1	134099403	134099919	84		
chr1	134234146	134234448	28		
chr1	134234516	134235449	68		
chr1	134298714	134299600	248		
chr1	134304430	134304749	10		
chr1	134361230	134362485	1119		
chr1	134381773	134382285	26		
chr1	134405496	134406565	593		
chr1	134415367	134416413	1051		
chr1	134455042	134456054	929		
chr1	134494176	134495432	944		
chr1	134513234	134514112	50		
chr1	134556358	134557040	471		
chr1	134560131	134561438	1466		
chr1	134646365	134647099	38		
chr1	134801558	134802689	122		
chr1	134802850	134803818	127		
chr1	134954896	134956119	845		
chr1	134962191	134963069	295		
chr1	134987752	134988109	13		
chr1	135083725	135084273	29		
chr1	135104767	135105641	107		
chr1	135132705	135133103	21		
chr1	135146345	135147903	1744		
chr1	135258783	135259198	21		
chr1	135282983	135284207	801		
chr1	135312978	135314192	889		
chr1	135324864	135325276	25		
chr1	135325417	135325756	18		
chr1	135368344	135369122	79		
chr1	135374375	135375332	191		
chr1	135429697	135430540	770		
chr1	135430653	135430890	55		
chr1	135509932	135510903	123		
chr1	135583560	135584558	116		
chr1	135584583	135585709	209		
chr1	135686504	135688515	959		
chr1	135699096	135699534	25		
chr1	135728801	135730082	567		
chr1	135765853	135767581	916		
chr1	135794005	135794338	16		
chr1	135818508	135819149	56		
chr1	135830765	135831146	17		
chr1	135836444	135838551	803		
chr1	136007518	136008355	73		
chr1	136017776	136018749	562		
chr1	136131133	136132037	238		
chr1	136140051	136140775	92		
chr1	136233834	136234591	63		
chr1	136260127	136260825	49		
chr1	136344933	136346553	1340		
chr1	136414769	136415916	610		
chr1	136465877	136466721	111		
chr1	136624369	136625831	1278		
chr1	136685266	136686016	36		
chr1	136781895	136782155	11		
chr1	136918950	136919174	12		
chr1	136948371	136949497	226		
chr1	137657003	137657224	12		
chr1	137898519	137900883	658		
chr1	138174301	138175225	78		
chr1	138244500	138244917	16		
chr1	138328484	138328708	3		
chr1	138618929	138620186	1142		
chr1	138841622	138841843	10		
chr1	138843600	138843865	14		
chr1	138856064	138856936	411		
chr1	138963186	138964475	1230		
chr1	138982334	138982800	25		
chr1	138983388	138983983	22		
chr1	139421715	139422948	991		
chr1	139454716	139455387	219		
chr1	139929371	139929731	56		
chr1	140181318	140181518	23		
chr1	140182136	140183294	130		
chr1	140245571	140246839	239		
chr1	142589043	142589663	43		
chr1	143640707	143641653	102		
chr1	143642074	143642352	17		
chr1	143642424	143642690	32		
chr1	143701896	143703368	1211		
chr1	143739106	143740226	628		
chr1	143776461	143777083	483		
chr1	143777216	143777980	763		
chr1	144003001	144004171	559		
chr1	144004324	144004890	167		
chr1	144077798	144078108	13		
chr1	144775109	144775341	6		
chr1	146724877	146725169	17		
chr1	146805365	146806103	84		
chr1	148486207	148486543	22		
chr1	149960659	149961417	177		
chr1	150099375	150100457	120		
chr1	150392345	150393121	664		
chr1	150393245	150394051	753		
chr1	150449010	150449802	68		
chr1	150465846	150466070	7		
chr1	150991608	150993682	489		
chr1	151024948	151025674	37		
chr1	151250214	151250910	34		
chr1	151287430	151287653	12		
chr1	151343943	151344316	200		
chr1	151344492	151345901	1334		
chr1	151427818	151428416	541		
chr1	151428583	151429486	964		
chr1	151499917	151501421	1574		
chr1	151571200	151572445	442		
chr1	151676954	151677369	27		
chr1	151754737	151755005	108		
chr1	151755242	151756173	1133		
chr1	151947640	151948280	67		
chr1	152089249	152090927	1276		
chr1	152176580	152176780	9		
chr1	152385978	152386778	592		
chr1	152399717	152401080	579		
chr1	152436875	152437808	127		
